Time,Gx,Gy,Gz,Ax,Ay,Az
1532053057,-0.41305542,-0.303253174,-1.354064941,0.652754632,-1.42208621,1.388990575
1532053057,-0.317703247,-0.588531494,-0.934921265,-2.586833029,-0.211413445,-0.301819242
1532053057,-0.422943115,0.007278442,-0.74621582,-0.218127008,-0.719390384,0.504439196
1532053057,-0.806549072,0.524749756,-0.75668335,-1.901256269,-3.17971181,0.821072538
1532053057,-0.971984863,0.326263428,-0.230239868,1.564010859,-1.98108399,2.016644913
1532053058,-1.070724487,0.195327759,-0.039672852,0.193642171,-0.591438543,0.164295468
1532053058,-1.094238281,0.477706909,0.006118774,-0.805124198,0.467738439,-2.300412184
1532053058,-0.871200562,0.340423584,-0.171310425,0.401662749,0.058199924,-0.631536695
1532053058,-0.708862305,0.225250244,-0.053207397,-0.585251754,0.028438832,0.881526561
1532053058,-1.232070923,0.275253296,-0.126724243,-0.812844169,0.087762343,1.331694795
1532053059,-0.954605103,0.22227478,-0.231948853,0.006541789,0.010936537,0.227704534
1532053059,-0.842559814,0.265167236,-0.109069824,1.094493162,-0.485366169,-0.447531438
1532053059,-0.988723755,0.358032227,-0.129257202,1.479376931,-0.584250938,-0.333683166
1532053059,-1.028549194,0.238479614,-0.136016846,0.479416933,0.174288713,-0.615950544
1532053059,-0.802154541,0.255249023,-0.062347412,0.588851815,-0.160528959,-0.572548742
1532053060,-0.739059448,0.272567749,-0.118545532,0.117363645,-0.090756535,0.47692235
1532053060,-1.161346436,0.551177979,-0.234939575,-0.761628385,0.413830732,1.73196764
1532053060,-0.923095703,0.220962524,-0.098327637,-1.011823581,0.724957722,0.153092614
1532053060,-0.914169312,0.23600769,-0.180938721,-0.310952287,0.108177337,-0.091581583
1532053060,-1.142059326,0.511428833,-0.159591675,-0.639188489,0.589527992,-0.812051612
1532053061,-0.974060059,0.337799072,-0.112335205,0.746996179,-0.398491191,-0.627355798
1532053061,-0.691162109,0.2759552,-0.130355835,-0.513214045,-0.040046752,-0.64760035
1532053061,-1.087173462,0.433990479,-0.238189697,-0.966947453,-0.058704859,0.65431551
1532053061,-0.953948975,0.315582275,-0.082214355,-0.606539199,0.073777285,0.325904605
1532053061,-0.872131348,0.203445435,-0.113540649,-1.003160585,0.36088203,0.337125834
1532053062,-1.169998169,0.294677734,-0.001281738,-0.121598337,0.099315669,-0.482263586
1532053062,-1.155609131,0.350524902,-0.160018921,-0.205463677,0.054336209,-0.889666513
1532053062,-0.784240723,0.325119019,-0.046875,0.04267982,-0.160877034,-1.205333926
1532053062,-0.82270813,0.340774536,-0.209396362,-0.973198691,-0.016310264,0.363676751
1532053062,-1.05670166,0.13835144,-0.13192749,-0.328720099,0.85815386,1.612295833
1532053063,-0.893035889,0.164703369,-0.067047119,-0.743110894,0.568891955,-0.622488072
1532053063,-0.905258179,0.110809326,-0.145523071,0.21059186,-0.041996985,-0.326755218
1532053063,-0.960586548,0.42791748,-0.164978027,-0.275032902,0.597919346,-0.41433913
1532053063,-0.864471436,0.356155396,-0.146408081,0.113985159,-0.10610087,0.153449211
1532053063,-0.807495117,0.357574463,-0.236557007,-0.678547879,0.177685309,1.13872587
1532053064,-1.305999756,0.554351807,-0.221603394,-0.792748222,0.090590088,0.253634136
1532053064,-0.933654785,0.490112305,-0.192901611,0.484630071,-0.014405571,-1.144346738
1532053064,-0.920516968,0.287506104,-0.06942749,1.192955021,-0.284535859,-0.925983242
1532053064,-0.96144104,0.244216919,-0.168380737,0.540104515,-0.058190336,-0.925043146
1532053064,-0.948532104,0.340301514,-0.153060913,0.124516363,-0.128813906,-0.030603716
1532053065,-0.838928223,0.242218018,-0.064025879,0.959769701,-0.318730315,0.744021961
1532053065,-0.980010986,0.410614014,-0.200149536,-0.857016957,0.067900754,0.659206406
1532053065,-0.967605591,0.28805542,-0.255828857,-1.710423466,1.164784902,0.70367587
1532053065,-0.768157959,0.194244385,-0.067398071,-1.275723671,1.045514966,-0.771312971
1532053065,-1.010620117,0.217788696,-0.166137695,-0.388550676,0.216114724,-0.347226938
1532053066,-1.009994507,0.439437866,-0.231002808,-1.383061047,0.981337844,-0.390071074
1532053066,-1.055587769,0.221359253,-0.182312012,-0.725326837,0.145133225,-1.14705757
1532053066,-0.788360596,0.222122192,-0.056427002,-0.502341424,-0.012287026,-0.617886929
1532053066,-1.1353302,0.720779419,-0.321212769,-2.647964827,-0.073498985,0.410865569
1532053066,-1.075241089,0.201309204,-0.096252441,-0.785311344,-0.329249269,1.113589891
1532053067,-0.92237854,0.192657471,-0.158889771,-0.256815814,0.026745861,-0.083950294
1532053067,-1.250762939,0.432876587,-0.12953186,0.413423801,0.050804059,-0.521912462
1532053067,-0.923919678,0.268447876,-0.237670898,2.149086045,-0.655188761,-0.712853655
1532053067,-0.772018433,0.157440186,-0.240005493,0.567365698,0.208915134,-0.783192001
1532053067,-1.221954346,0.324783325,-0.002304077,-0.447073374,-0.276200698,-0.458640016
1532053068,-0.734161377,0.16986084,0.000808716,-0.633695986,-0.177242692,0.234026879
1532053068,-1.011993408,0.119888306,-0.213378906,-0.547940334,-0.025450499,1.493562525
1532053068,-1.148696899,0.074157715,0.102798462,0.395486879,0.050130545,0.578488923
1532053068,-1.26802063,0.164123535,-0.003356934,-0.715372473,-0.172190675,-1.157902495
1532053068,-0.903778076,0.046051025,0.012069702,-0.469131006,-0.584543619,-0.242809984
1532053069,-0.671447754,0.06300354,-0.085479736,-0.76351923,-0.237180594,0.503532922
1532053069,-1.311660767,0.534744263,-0.417709351,-1.117620851,-0.066967582,2.017696596
1532053069,-0.988510132,0.278411865,-0.01675415,-0.257993198,1.104233141,0.482448942
1532053069,-0.986755371,0.192474365,-0.149078369,-0.384497344,0.118455541,1.014153048
1532053069,-1.208251953,0.430084229,-0.06652832,-0.19436522,0.137178629,-1.230446736
1532053070,-1.200637817,0.482543945,-0.19380188,-0.218261764,-0.453239125,-1.924800743
1532053070,-0.578308105,0.389266968,-0.037216187,0.874851614,-0.500744592,-0.761262467
1532053070,-0.873504639,0.451751709,-0.332717896,-1.092258237,0.100546848,1.103068274
1532053070,-1.253829956,0.435897827,-0.034683228,-0.525862995,0.973654091,2.679524883
1532053070,-0.790542603,0.289535522,-0.441665649,-2.265693086,0.89706291,-0.216769329
1532053071,-1.28086853,0.288513184,-0.120178223,0.534751562,0.275234503,0.017996045
1532053071,-1.353424072,0.624389648,-0.14654541,1.257373425,-0.748227891,-2.454022251
1532053071,-0.678909302,0.384353638,-0.094894409,-0.134848363,-0.457209898,-2.221765842
1532053071,-0.685211182,0.378448486,-0.36479187,-0.322075512,-0.030817568,1.472121681
1532053071,-1.280975342,0.394485474,-0.183227539,-1.176719858,0.62496641,2.426629242
1532053072,-0.804031372,0.242004395,-0.219467163,-0.652871544,0.750722474,0.75615266
1532053072,-1.150756836,0.41166687,-0.040817261,0.11736471,0.308015086,-0.117994814
1532053072,-1.212768555,0.480712891,0.02545166,-1.526481593,-0.25161253,-1.957349898
1532053072,-0.901489258,0.496337891,-0.242538452,-0.071329308,0.54636614,-2.426760536
1532053072,-0.493637085,0.341415405,-0.048583984,-0.089214299,-0.217340577,-0.728316235
1532053073,-1.106964111,0.873153687,-0.362014771,-0.766818886,-0.365225646,3.163329374
1532053073,-1.389129639,0.370223999,0.058502197,-0.234581083,1.252997319,0.794899523
1532053073,-0.965042114,0.315536499,-0.297897339,0.143117744,-0.446804395,0.311862023
1532053073,-1.202255249,0.460144043,-0.063568115,-0.082017372,-0.05890646,-1.285333687
